h3_cell,latitude,longitude,bairro_clean
8981839a1b3ffff,-8.1141439,-34.955932125000004,cohab
8981839aa3bffff,-8.056119727056679,-34.94952038182239,cidade universitária
898183991d7ffff,,,
8981839ab03ffff,,,
8981838a147ffff,,,
8981839a01bffff,,,
89818398e97ffff,-8.034906590645258,-34.93133947150674,iputinga
8981839acc3ffff,,,
8981838a567ffff,-7.957179947362144,-34.94545422336588,guabiraba
89818398803ffff,,,
8981839a06bffff,-8.111249897747486,-34.92099600421256,ipsep
8981839aa03ffff,-8.06057530366254,-34.94652826026442,engenho do meio
8981838a053ffff,,,
89818065933ffff,,,
8981839ab37ffff,,,
89818398eafffff,,,
8981839ab5bffff,-8.049583260349047,-34.95597320071676,várzea
8981839a06fffff,-8.108557810709966,-34.92450305682377,ipsep
8981839844fffff,-8.079493094923164,-34.8972230182842,cabanga
8981838a587ffff,,,
89818398957ffff,,,
89818398633ffff,-8.0707098,-34.8921636,joana bezerra
89818398173ffff,-8.044647590695066,-34.92243059554598,cordeiro
8981839aacfffff,-8.06434113288922,-34.94109122635606,torrões
898183812d3ffff,,,
898183982a3ffff,-8.0511663301549,-34.89349961218275,boa vista
89818398427ffff,-8.076218873529413,-34.913952611764714,afogados
8981839b16fffff,-8.08594868209399,-34.88294865338612,brasília teimosa
89818398643ffff,-8.0712954,-34.8770442,são josé
898183984a3ffff,,,
8981838128fffff,,,
89818399dd3ffff,-8.023541295355216,-34.898421039716034,bomba do hemetério
898183816cbffff,,,
8981838a08fffff,,,
89818398d57ffff,-8.025898910567914,-34.961493074719264,caxangá
89818398d13ffff,,,
898183812b7ffff,,,
89818398153ffff,-8.052035648874973,-34.91755193443239,zumbi
8981839a51bffff,-8.134580142094112,-34.94460576301313,jordão
8981839ab8bffff,,,
8981839989bffff,-8.01133248,-34.88405053,cajueiro
8981838a55bffff,,,
89818399dcfffff,-8.017634430218473,-34.899334991503,água fria
8981838a56fffff,,,
8981839a0a7ffff,-8.120224631309874,-34.938779395901456,ibura
898183986c7ffff,,,
8981839864bffff,,,
89818398597ffff,-8.083431718971926,-34.93258079405038,estância
8981839a017ffff,,,
898183984dbffff,,,
8981839b1afffff,-8.09575474846205,-34.89513500446979,pina
8981839918bffff,,,
8981838a18fffff,,,
898183999a7ffff,-7.990579714606771,-34.916263772930414,dois unidos
8981839a063ffff,-8.11309929613023,-34.924107863399165,ipsep
8981839a24bffff,,,
898183836cbffff,,,
89818399993ffff,-8.00239293660901,-34.90797061344002,dois unidos
898183983c3ffff,-8.044243523380324,-34.90025872325682,graças
8981838a297ffff,,,
89818399c63ffff,-8.016665252546789,-34.88229472755547,campina do barreto
89818398267ffff,-8.039617091910944,-34.88414766449608,torreão
8981839a003ffff,,,
89818398863ffff,,,
89818398aa7ffff,-8.001255974765701,-34.93690606994127,nova descoberta
8981838a40bffff,,,
8981838364bffff,,,
8981839a0cbffff,,,
8981839840bffff,-8.08328239912998,-34.90397331673518,afogados
89818399dbbffff,-8.017914904929988,-34.91147336098188,alto josé bonifácio
898183981d7ffff,-8.058084783333333,-34.924269583333334,cordeiro
89818381163ffff,,,
8981838a4c7ffff,,,
8981839a90fffff,,,
8981839b18bffff,-8.103191091043662,-34.88646797830418,boa viagem
89818398507ffff,-8.0714241954592,-34.9288666886043,san martin
8981839b1abffff,-8.0975032,-34.8897635,pina
8981838117bffff,,,
89818399d2fffff,-8.002603618639535,-34.91132149945865,dois unidos
8981839a0d7ffff,,,
89818398813ffff,-8.01563253345282,-34.94718404967374,dois irmãos
8981839a66fffff,-8.121086899049716,-34.90315427121574,boa viagem
898183988bbffff,-8.017383131312705,-34.95234574642527,sítio dos pintos
8981839a037ffff,-8.115381221020053,-34.935555468785175,ibura
89818398167ffff,,,
8981838a427ffff,,,
89818398e27ffff,,,
8981839a8cfffff,,,
8981839a2d7ffff,-8.116943957531326,-34.90260978173129,boa viagem
8981839a903ffff,,,
8981838a113ffff,,,
898183985a3ffff,,,
89818399cbbffff,-8.029264243071061,-34.891262508662486,ponto de parada
8981839b1a3ffff,,,
89818399c07ffff,-8.024324866666666,-34.887837,arruda
898183982dbffff,,,
8981839ab87ffff,,,
8981838a6b3ffff,,,
8981839aa7bffff,-8.054389752433899,-34.94155382719,engenho do meio
